问题,答案,分类,命中次数
时事通处可以购买《西游时讯》，请问这份报纸不包括哪条内容？,玩家守则,科举,0
梦幻西游中有多少个种族,3,科举,0
门派称谓任务在哪里领取,本门首席大弟子,科举,0
门派首席弟子的竞选要求是,等级≥50、门派贡献度≥600,科举,0
辅助类的技能（如强身术、炼金术等）在哪里学习最合算,帮派,科举,0
角色“骨精灵”有可能加入哪个门派,魔王寨,科举,0
好友栏第一位的梦幻精灵，有什么作用,快速回答游戏疑问,科举,0
杂货店出售的“摄妖香”有什么作用,不再遇到场景等级低于自己等级的怪物暗雷,科举,0
长安罗道人出售飞行符，飞行符不能直接到达的地方是,江南野外,科举,0
杂货店出售一种物品，可以在战斗中查看怪物的当前气血，这种物品是,洞冥草,科举,0
哪个门派的玩家最适合使用暗器,女儿村,科举,0
“等级到30级、两人友好度到1000的两个玩家可以结婚，需要,有一方拥有一间已经入住的房屋,科举,0
以下哪种物品可以将召唤兽变为0级，技能和资质随机改变,金柳露、超级金柳露,科举,0
各个重要节日都有礼物给大家，负责发礼物的是,节日礼物使者,科举,0
让角色“自动跟随鼠标”跑动的操作方法是,压下左键几秒钟,科举,0
梦幻西游里有很多可爱的表情包子，例如#17表示,害羞了,科举,0
到了50级就可以去钓鱼啦，在哪里买鱼竿呢,长寿村和傲来国的捕鱼人,科举,0
师门遭到怪物袭击？带上朋友一起消灭他们！如果是本门派的弟子还可以额外获得,门派贡献度,科举,0
世界频道多少级才能发言,20级,科举,0
在哪里领取每周14个小时的双倍时间，更快升级,长安皇宫门口马副将,科举,0
初入游戏时会自动获得一只宠物，有了它才能携带召唤兽，可以调换宠物造型的NPC是,建邺城的宠物仙子,科举,0
使用了时间锁的物品或召唤兽，在1到180天内将不能解除保护,长安城房都尉处使用时间锁,科举,0
下面哪项属性的点数分配对“伤害”的影响最大,力量,科举,0
“给予”的快捷键是,Alt＋G,科举,0
书店和铁匠铺、裁缝店打工赚钱的区别是,书店不消耗气血,科举,0
变异召唤兽和普通召唤兽的区别是,颜色不同,科举,0
在游戏中，玩家角色达到多少级可以摆摊,30级,科举,0
等级达到多少级可以在长安城的副本官员处发起副本,50级,科举,0
长安城镖局发放运镖任务，运镖除了可以获得金钱和储备金，还可能获得,阵法书,科举,0
当道具栏包子充足、未进入战斗且没有开启自动的情况下，怎样可以快速加血,右键点击人物或召唤兽血条,科举,0
≥60级的玩家可以领取三倍时间，三倍时间可以和双倍时间叠加吗,可以,科举,0
在哪里可以看到游戏内现在的时辰?,游戏界面左上角,科举,0
结为夫妻的一对玩家可以拥有梦幻世界里最为独特的几项技能,3项,科举,0
很多玩家拥有属于自己的商店，在哪里可以看到这些商店,长安城商会总管,科举,0
多少级可以建造自己的房屋？,≥30级,科举,0
符合条件的夫妻玩家把什么物品交给管家，可以获得生育宝宝的机会,千年人参,科举,0
等级≥65的单身玩家把什么物品交给长寿村马婆婆，就可以领养一个小宝宝？,孤儿名册,科举,0
玩家在《梦幻西游》口袋版的“集市”出售“葫芦”的最低等级是多少？,69,科举,0
玩家每天可以进行几次召唤兽“强制解除封印”操作，将召唤兽特性回复至封印前状态？,1次,科举,0
《梦幻西游》口袋版“幻境节日”是每个月的哪一天？,9日,科举,0
在游戏中如何发布长时间语音信息？,长按“Ctrl+Z”,科举,0
玩家在内嵌“藏宝阁”看到一个性价比很高的召唤兽，想发给亲友看看。以下做法哪个是无效的？,闭上眼睛使用意念,科举,0
玩家要买一支玫瑰花，他在“商会”界面使用了“搜索”功能查找，这会消耗他多少体力？,50,科举,0
玩家刚在“商会”使用“搜索”功能查找玫瑰花，他还想再买一个玉瓷画瓶，他要在几分钟之后才能再次搜索？,10,科举,0
“除暴安良”任务队长获得的银两奖励是现金还是储备金？,储备金,科举,0
玩家找到钟馗取消捉鬼任务，需要间隔多久他才能再次领取捉鬼任务？,10分钟,科举,0
玩家勾选了若干仓库后点击“全部整理”，这会消耗他多少点体力？,200,科举,0
玩家每天最多可以使用多少次“全部整理”功能整理仓库物品？,1,科举,0
玩家可以通过哪种方式为游戏在线充值？,以上都可以,科举,0
玩家要从使用旧“三界功绩”消耗规则的服务器转移至使用新“三界功绩”消耗规则的服务器，他最多可携带多少点三界功绩？,500点,科举,0
辅助技能“丹青之道”的等级上限是多少？,9级,科举,0
梦幻服务器开服时间以什么为单位计算？,天,科举,0
可以屏蔽玩家摊位的快捷键是？,Alt+H,科举,0
可以屏蔽其他玩家及其发言，更方便点击NPC的快捷键是？,F9,科举,0
可以打开道具栏使用物品的快捷键是？,Alt+E,科举,0
可以将可交易物品给予其他玩家的快捷键是？,Alt+G,科举,0
可以快速组队的快捷键是？,Alt+T,科举,0
玩家可以通过好友图标或什么快捷键打开好友列表？,Alt+F,科举,0
角色每次升级，可以获得几点潜力？,10点,科举,0
游戏中每个时辰相当于现实时间的多久？,2分30秒,科举,0
玩家大于等于多少等级可以建立临时群？,30级,科举,0
游戏中系统默认的聊天频道是？,“当前”频道,科举,0
玩家宝石工艺达到多少级可以摆摊出售宝石合成服务？,5级,科举,0
想要在游戏中开店的玩家需要在哪里进行申请登记店面？,长安城商会总管,科举,0
在游戏中开店出售各类物品和召唤兽，申请玩家需要满足多少等级？,≥30级,科举,0
那些收购玩家不需要的武器装备的装备收购商会在下面哪个场景出现？,建邺城,科举,0
下面场景中没有杂货店的是？,大唐境外,科举,0
下面物品中在建邺城杂货店有出售的物品是？,宠物口粮,科举,0
下面物品在长安福寿店没有出售的是？,摄妖香,科举,0
以下地点玩家可以休息、疗伤、恢复气血的是？,长安酒店,科举,0
以下物品中不能使用帮派荣誉积分兑换的是？,静息仙玉,科举,0
申请建立帮会需要申请人等级满足多少级？,≥40级,科举,0
以下不是夫妻技能的是？,生死与共,科举,0
